Region,Date,Population,Type,Cases,Cases_proportional
Austria,2020-02-26T07:00:00Z,8820000,Dead,0,0
Austria,2020-02-27T07:00:00Z,8820000,Dead,0,0
Austria,2020-02-28T07:00:00Z,8820000,Dead,0,0
Austria,2020-02-29T07:00:00Z,8820000,Dead,0,0
Austria,2020-03-01T07:00:00Z,8820000,Dead,0,0
Austria,2020-03-02T07:00:00Z,8820000,Dead,0,0
Austria,2020-03-03T07:00:00Z,8820000,Dead,0,0
Austria,2020-03-04T17:00:00Z,8820000,Dead,0,0
Austria,2020-03-05T14:00:00Z,8820000,Dead,0,0
Austria,2020-03-06T14:00:00Z,8820000,Dead,0,0
Austria,2020-03-07T14:00:00Z,8820000,Dead,0,0
Austria,2020-03-08T10:45:00Z,8820000,Dead,0,0
Austria,2020-03-09T14:00:00Z,8820000,Dead,0,0
Austria,2020-03-10T14:00:00Z,8820000,Dead,0,0
Austria,2020-03-11T14:00:00Z,8820000,Dead,0,0
Austria,2020-03-12T14:00:00Z,8820000,Dead,1,1.1337868480725623e-7
Austria,2020-03-13T14:00:00Z,8820000,Dead,1,1.1337868480725623e-7
Austria,2020-03-14T14:00:00Z,8820000,Dead,1,1.1337868480725623e-7
Austria,2020-03-15T14:00:00Z,8820000,Dead,1,1.1337868480725623e-7
Austria,2020-03-16T14:00:00Z,8820000,Dead,3,3.4013605442176873e-7
Austria,2020-03-17T14:00:00Z,8820000,Dead,3,3.4013605442176873e-7
Austria,2020-03-18T14:00:00Z,8820000,Dead,4,4.535147392290249e-7
Austria,2020-03-19T13:30:00Z,8820000,Dead,6,6.802721088435375e-7
Austria,2020-03-20T14:00:00Z,8820000,Dead,6,6.802721088435375e-7
Austria,2020-03-21T14:00:00Z,8820000,Dead,8,9.070294784580499e-7
Austria,2020-03-22T14:00:00Z,8820000,Dead,16,1.8140589569160997e-6
Austria,2020-03-23T14:00:00Z,8820000,Dead,21,2.3809523809523808e-6
Austria,2020-03-24T14:00:00Z,8820000,Dead,28,3.1746031746031746e-6
Austria,2020-03-25T14:00:00Z,8820000,Dead,31,3.5147392290249433e-6
Austria,2020-03-26T14:00:00Z,8820000,Dead,49,5.555555555555556e-6
Austria,2020-03-27T14:00:00Z,8820000,Dead,58,6.5759637188208614e-6
Austria,2020-03-28T14:00:00Z,8820000,Dead,68,7.709750566893424e-6
Austria,2020-03-29T13:00:00Z,8820000,Dead,86,9.750566893424037e-6
Austria,2020-03-30T13:00:00Z,8820000,Dead,108,1.2244897959183674e-5
Austria,2020-03-31T13:00:00Z,8820000,Dead,128,1.4512471655328798e-5
Austria,2020-04-01T13:00:00Z,8820000,Dead,146,1.655328798185941e-5
Austria,2020-04-02T13:00:00Z,8820000,Dead,158,1.7913832199546487e-5
Austria,2020-04-03T13:00:00Z,8820000,Dead,168,1.9047619047619046e-5
Austria,2020-04-04T13:00:00Z,8820000,Dead,186,2.108843537414966e-5
Austria,2020-04-05T13:00:00Z,8820000,Dead,204,2.3129251700680272e-5
Austria,2020-04-06T13:00:00Z,8820000,Dead,220,2.4943310657596373e-5
Austria,2020-04-07T13:00:00Z,8820000,Dead,243,2.7551020408163265e-5
Austria,2020-04-08T13:00:00Z,8820000,Dead,273,3.095238095238095e-5
Austria,2020-04-09T13:00:00Z,8820000,Dead,295,3.344671201814059e-5
Austria,2020-02-26T07:00:00Z,8820000,Infected,2,2.2675736961451246e-7
Austria,2020-02-27T07:00:00Z,8820000,Infected,2,2.2675736961451246e-7
Austria,2020-02-28T07:00:00Z,8820000,Infected,4,4.535147392290249e-7
Austria,2020-02-29T07:00:00Z,8820000,Infected,5,5.668934240362812e-7
Austria,2020-03-01T07:00:00Z,8820000,Infected,10,1.1337868480725623e-6
Austria,2020-03-02T07:00:00Z,8820000,Infected,10,1.1337868480725623e-6
Austria,2020-03-03T07:00:00Z,8820000,Infected,18,2.040816326530612e-6
Austria,2020-03-04T17:00:00Z,8820000,Infected,29,3.2879818594104307e-6
Austria,2020-03-05T14:00:00Z,8820000,Infected,41,4.6485260770975054e-6
Austria,2020-03-06T14:00:00Z,8820000,Infected,55,6.235827664399093e-6
Austria,2020-03-07T14:00:00Z,8820000,Infected,79,8.956916099773243e-6
Austria,2020-03-08T10:45:00Z,8820000,Infected,99,1.1224489795918367e-5
Austria,2020-03-09T14:00:00Z,8820000,Infected,131,1.4852607709750567e-5
Austria,2020-03-10T14:00:00Z,8820000,Infected,182,2.0634920634920636e-5
Austria,2020-03-11T14:00:00Z,8820000,Infected,246,2.7891156462585033e-5
Austria,2020-03-12T14:00:00Z,8820000,Infected,361,4.09297052154195e-5
Austria,2020-03-13T14:00:00Z,8820000,Infected,504,5.714285714285714e-5
Austria,2020-03-14T14:00:00Z,8820000,Infected,655,7.426303854875283e-5
Austria,2020-03-15T14:00:00Z,8820000,Infected,860,9.750566893424037e-5
Austria,2020-03-16T14:00:00Z,8820000,Infected,1016,1.1519274376417234e-4
Austria,2020-03-17T14:00:00Z,8820000,Infected,1332,1.510204081632653e-4
Austria,2020-03-18T14:00:00Z,8820000,Infected,1646,1.8662131519274377e-4
Austria,2020-03-19T13:30:00Z,8820000,Infected,2013,2.282312925170068e-4
Austria,2020-03-20T14:00:00Z,8820000,Infected,2388,2.707482993197279e-4
Austria,2020-03-21T14:00:00Z,8820000,Infected,2814,3.1904761904761903e-4
Austria,2020-03-22T14:00:00Z,8820000,Infected,3244,3.678004535147392e-4
Austria,2020-03-23T14:00:00Z,8820000,Infected,3924,4.448979591836735e-4
Austria,2020-03-24T14:00:00Z,8820000,Infected,4876,5.528344671201814e-4
Austria,2020-03-25T14:00:00Z,8820000,Infected,5560,6.303854875283446e-4
Austria,2020-03-26T14:00:00Z,8820000,Infected,6398,7.253968253968254e-4
Austria,2020-03-27T14:00:00Z,8820000,Infected,7399,8.388888888888889e-4
Austria,2020-03-29T13:00:00Z,8820000,Infected,8536,9.678004535147392e-4
Austria,2020-03-30T13:00:00Z,8820000,Infected,9377,0.0010631519274376417
Austria,2020-03-31T13:00:00Z,8820000,Infected,9974,0.0011308390022675737
Austria,2020-04-01T13:00:00Z,8820000,Infected,10482,0.0011884353741496599
Austria,2020-04-02T13:00:00Z,8820000,Infected,10967,0.0012434240362811792
Austria,2020-04-03T13:00:00Z,8820000,Infected,11383,0.0012905895691609978
Austria,2020-04-04T13:00:00Z,8820000,Infected,11665,0.001322562358276644
Austria,2020-04-05T13:00:00Z,8820000,Infected,11907,0.00135
Austria,2020-04-06T13:00:00Z,8820000,Infected,12206,0.0013839002267573696
Austria,2020-04-07T13:00:00Z,8820000,Infected,12519,0.0014193877551020408
Austria,2020-04-08T13:00:00Z,8820000,Infected,12852,0.0014571428571428572
Austria,2020-04-09T13:00:00Z,8820000,Infected,13138,0.0014895691609977323
Austria,2020-03-08T10:45:00Z,8820000,Recovered,2,2.2675736961451246e-7
Austria,2020-03-09T14:00:00Z,8820000,Recovered,2,2.2675736961451246e-7
Austria,2020-03-10T14:00:00Z,8820000,Recovered,4,4.535147392290249e-7
Austria,2020-03-11T14:00:00Z,8820000,Recovered,4,4.535147392290249e-7
Austria,2020-03-12T14:00:00Z,8820000,Recovered,4,4.535147392290249e-7
Austria,2020-03-13T14:00:00Z,8820000,Recovered,6,6.802721088435375e-7
Austria,2020-03-14T14:00:00Z,8820000,Recovered,6,6.802721088435375e-7
Austria,2020-03-15T14:00:00Z,8820000,Recovered,6,6.802721088435375e-7
Austria,2020-03-16T14:00:00Z,8820000,Recovered,6,6.802721088435375e-7
Austria,2020-03-17T14:00:00Z,8820000,Recovered,9,1.020408163265306e-6
Austria,2020-03-18T14:00:00Z,8820000,Recovered,9,1.020408163265306e-6
Austria,2020-03-19T13:30:00Z,8820000,Recovered,9,1.020408163265306e-6
Austria,2020-03-29T13:00:00Z,8820000,Recovered,479,5.430839002267574e-5
Austria,2020-03-30T13:00:00Z,8820000,Recovered,636,7.210884353741496e-5
Austria,2020-03-31T13:00:00Z,8820000,Recovered,1095,1.2414965986394557e-4
Austria,2020-04-01T13:00:00Z,8820000,Recovered,1436,1.6281179138321995e-4
Austria,2020-04-02T13:00:00Z,8820000,Recovered,1749,1.9829931972789117e-4
Austria,2020-04-03T13:00:00Z,8820000,Recovered,2022,2.292517006802721e-4
Austria,2020-04-04T13:00:00Z,8820000,Recovered,2507,2.842403628117914e-4
Austria,2020-04-05T13:00:00Z,8820000,Recovered,2998,3.399092970521542e-4
Austria,2020-04-06T13:00:00Z,8820000,Recovered,3463,3.9263038548752833e-4
Austria,2020-04-07T13:00:00Z,8820000,Recovered,4046,4.587301587301587e-4
Austria,2020-04-08T13:00:00Z,8820000,Recovered,4512,5.115646258503401e-4
Austria,2020-04-09T13:00:00Z,8820000,Recovered,5240,5.941043083900226e-4
Austria,2020-03-17T14:00:00Z,8820000,In_Hospital,26,2.947845804988662e-6
Austria,2020-03-20T14:00:00Z,8820000,In_Hospital,138,1.5646258503401362e-5
Austria,2020-03-22T14:00:00Z,8820000,In_Hospital,173,1.9614512471655327e-5
Austria,2020-03-24T14:00:00Z,8820000,In_Hospital,304,3.44671201814059e-5
Austria,2020-03-26T14:00:00Z,8820000,In_Hospital,547,6.201814058956916e-5
Austria,2020-03-27T14:00:00Z,8820000,In_Hospital,702,7.959183673469388e-5
Austria,2020-03-28T14:00:00Z,8820000,In_Hospital,744,8.435374149659864e-5
Austria,2020-03-29T13:00:00Z,8820000,In_Hospital,931,1.0555555555555555e-4
Austria,2020-03-30T13:00:00Z,8820000,In_Hospital,999,1.1326530612244898e-4
Austria,2020-03-31T13:00:00Z,8820000,In_Hospital,1110,1.258503401360544e-4
Austria,2020-04-01T13:00:00Z,8820000,In_Hospital,1071,1.2142857142857143e-4
